CatalogID,Release,Type,Product,Domain,Resolution,Deprecated,MinDate,MaxDate,MinYear,MaxYear,TimeSeriesType,TimeSeriesRegularity,DataType,DataUnit,DataScaleFactor,DataOffset,Data.URL,Metadata.URL,ColorRampDefault
R2D009,Release2,Radiation,Fall Subcanopy Solar Radiation,UER,3m,FALSE,9/23/18,9/23/18,2018,2018,Single,Regular,numeric,watt-hours  per meter squared,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_subcanopy_day265_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_subcanopy_day265_3m_v1_metadata.xml,continuous
R2D010,Release2,Radiation,Winter Subcanopy Solar Radiation,UER,3m,FALSE,12/21/18,12/21/18,2018,2018,Single,Regular,numeric,watt-hours  per meter squared,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_subcanopy_day355_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_srad_subcanopy_day355_3m_v1_metadata.xml,continuous
R2D011,Release2,Snow,Snow Depth 2018,UER,3m,FALSE,3/18/18,3/18/18,2018,2018,Single,Regular,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_snow_depth_20180331_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_snow_depth_20180331_3m_v1_metadata.xml,continuous
R2D012,Release2,Snow,Snow Depth 2019,UER,3m,FALSE,4/8/19,4/8/19,2019,2019,Single,Regular,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_snow_depth_20190407_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_snow_depth_20190407_3m_v1_metadata.xml,continuous
R2D013,Release2,Vegetation,High-res Canopy Height,UER,0.333m,FALSE,9/12/19,9/12/19,2019,2019,Single,Regular,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_canopy_ht_33cm_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_canopy_ht_33cm_v2_metadata.xml,continuous
R2D014,Release2,Vegetation,Lidar Vegetation Metrics,UER,3m,FALSE,9/12/19,9/12/19,2019,2019,Single,Regular,numeric,multiple,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_lidar_metrics_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release2/UER_lidar_metrics_3m_v1_metadata.xml,rgb
R3D001,Release3,Hydro,Multiscale Topographic Wetness,UG,1m,FALSE,9/12/19,9/12/19,2019,2019,Single,Regular,numeric,unitless,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_wet_index_multiscale_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_wet_index_multiscale_1m_v1_metadata.xml,continuous
R3D002,Release3,Imagery,October 2017 NAIP RGBN Orthomosaic,UG,1m,FALSE,10/17/17,10/17/17,2017,2017,Single,Regular,numeric,unitless,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_rgbn_oct2017_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_rgbn_oct2017_1m_v1_metadata.xml,continuous
R3D003,Release3,Imagery,Septober 2019 NAIP RGBN Orthomosaic,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,Regular,numeric,unitless,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_rgbn_sept2019_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_rgbn_sept2019_1m_v1_metadata.xml,continuous
R3D004,Release3,Supplemental,UTM X Coordinate,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,Regular,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_coordinate_UTMX_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_coordinate_UTMX_1m_v1_metadata.xml,continuous
